App name,Version number,debloating feature,icons,pictures,transition gif,Total TextViews,Total Buttons,Transition Frames (Activity - Activity),Transition Frames (Touch to Action),App Genres,Local Image Size [KB],resolution,API call,Database call,,,
Travel-mate,v1-b,no-animation in myfriends tab,11,0,1,10,7,,,information,0,0x0,1,0,,,
Travel-mate,v2-a,original,2,3,0,4,0,,,information,12.9;11.8;10.4,276x183;275x183;354x144,0,3,,,
Travel-mate,v2-b,lowerres images cardview,2,3,0,4,0,,,information,2.07;1.42;1.01,276x183;275x183;354x144,0,3,,,
Travel-mate,v3-a,original,2,3,0,4,0,,,information,12.9;11.8;10.4,276x183;275x183;354x144,0,3,,,
Travel-mate,v3-b,no image cardview,2,0,0,4,0,,,information,0;0;0,0x0;0x0;0x0,0,0,,,
Travel-mate,v4-a,original,3,10,0,10,0,,,information,0,200x300;200x300;200x300;200x300;200x300;200x300;200x300;200x300;200x300;200x300,11,0,,,
Travel-mate,v4-b,DL'd City Images from Launcher Activity Removed,3,0,0,10,0,,,information,0,0x0;0x0;0x0;0x0;0x0;0x0;0x0;0x0;0x0;0x0,1,0,,,
Travel-mate,v5-a,original,7,1,0,8,5,,,information,124,50x50,0,1,,,
Travel-mate,v5-b,no image aboutus,7,0,0,8,5,,,information,0,0x0,0,0,,,
Wikipedia,v1-a,original,8,2,0,8,0,,,information,50,60x60,0,10,,,
Wikipedia,v1-b,List Thumbnail Removal,8,1,0,8,0,,,information,0,0x0,0,6,,,
Wikipedia,v2-a,original,8,2,0,8,0,,,information,26.3,168x168,0,10,,,
Wikipedia,v2-b,ScrollView Removal,7,2,0,8,0,,,information,0,0x0,0,9,,,
World weather,v1-a,original,22,6,1,45,4,,,information,2.79; 2.84; 2.84; 6.22; 6.22; 6.22,50x50; 50x50; 50x50; 108x108; 108x108; 108x108;,3,3,,,
World weather,v1-b,Weather Fragment Main Image Removed,22,3,1,45,4,,,information,2.79; 2.84; 2.84; 6.22; 6.22; 6.22,50x50; 50x50; 50x50; 108x108; 108x108; 108x108;,3,3,,,
World weather,v2-a,original,22,6,2,41,19,,,information,2.79; 2.84; 2.84; 6.22; 6.22; 6.22,50x50; 50x50; 50x50; 108x108; 108x108; 108x108;,3,3,,,
World weather,v2-b,Main Forecast Transition Removed,22,6,0,41,19,,,information,6.22; 6.22; 6.22,108x108; 108x108; 108x108;,0,3,,,
World weather,v3-a,original,22,6,1,45,4,,,information,2.79; 2.84; 2.84; 6.22; 6.22; 6.22,50x50; 50x50; 50x50; 108x108; 108x108; 108x108;,3,3,,,
World weather,v3-b,Weather Fragment Small Image Removed,22,3,1,45,4,,,information,2.79; 2.84; 2.84,50x50; 50x50; 50x50,3,0,,,
Omni-Notes,v1-a,original,4,1,0,2,0,,,social,8.954,150x150,0,1,,,
Omni-Notes,v1-b,Animation on Launch Activity Removed,4,0,0,2,0,,,social,,,0,0,,,
,,,,,,,,,,,,,api,db,,,
